State,Agency,Item Name,Quantity,Type
CT,Yale U. Police Department,Special Patrol Insertion/Extraction Kit,5,Other
CT,Yale U. Police Department,Telescope,1,Other
CT,Yale U. Police Department,Tent,2,Other
CT,Yale U. Police Department,Tourniquet,29,Other
CT,Yale U. Police Department,Trousers,63,Other
CT,Yale U. Police Department,Hydration system,35,Other
CT,Yale U. Police Department,"Jacket, Cold Weather",5,Other
CT,Yale U. Police Department,"Light, Chemiluminescent",166,Other
CT,Yale U. Police Department,"Mount, Sight",44,Other
CT,Yale U. Police Department,"Pouch, First Aid Kit",16,Other
CT,Yale U. Police Department,"Pouch, M4, Three Mag",20,Other
CT,Yale U. Police Department,"Pouch, Radio, Molle",20,Other
CT,Yale U. Police Department,"Sight, reflex",56,Other
CT,Yale U. Police Department,"Sight, thermal",4,Other
CT,Yale U. Police Department,"Tourniquet, One-Handed",221,Other
DE,U. of Delaware Police Department,"Bandage, Gauze",100,Other
DE,U. of Delaware Police Department,M-16,10,Gun
FL,Florida International U. Police Department,"Chest, Top, Moblie Tool Cabinet",3,Other
FL,Florida International U. Police Department,Truck or Truck Tractor,1,Vehicle
FL,Florida International U. Police Department,M-16,50,Gun
FL,Florida International U. Police Department,Mine Resistant Vehicle,1,Vehicle
FL,Florida State U. Police Department,"Truck, Utility",1,Vehicle
FL,U. of Central Florida Police Department,M-16,23,Gun
FL,U. of Central Florida Police Department,M-79 Grenade Launcher,1,Other
FL,U. of Florida Police Department,"Truck, Armored",1,Vehicle
FL,U. of North Florida Police Department,M-16,11,Gun
FL,U. of South Florida Police,"Truck, Utility",1,Vehicle
FL,U. of South Florida Police,M-16,20,Gun
GA,Central Georgia Technical College Police Department,M-16,4,Gun
GA,Columbus State U. Police,M-16,3,Gun
GA,Darton State College Police Department,.45 Caliber ,10,Gun
GA,Darton State College Police Department,M-14,2,Gun
GA,Emory U. Police Department,Image Intensifier,2,Other
GA,Fort Valley State U. Police,Fireman's Helmet,10,Other
GA,Fort Valley State U. Police,Fan,8,Other
GA,Fort Valley State U. Police,Fireman's Coat,3,Other
GA,Fort Valley State U. Police,Firemen's Trouser,2,Other
GA,Fort Valley State U. Police,Refrigerator,2,Other
GA,Kennesaw State U. Police,M-14,2,Gun
GA,Kennesaw State U. Police,M-16,4,Gun
GA,Southern Crescent Technical College Police Department,M-16,6,Gun
IA,Iowa State U. Police,M-16,7,Gun
IL,Benedictine U. Police Department,"Truck, Utility",1,Vehicle
IL,Benedictine U. Police Department,M-16,2,Gun
IL,College of DuPage Police Department,M-16,14,Gun
IL,Eastern Illinois U. Police Department,.45 Caliber ,20,Gun
IL,Eastern Illinois U. Police Department,M-16,4,Gun
IL,Lincoln Land Community College Police,M-14,2,Gun
IL,Parkland College Police Dept,M-16,2,Gun
IL,Triton College Police Department,6 X 6 Cargo Truck,1,Vehicle
IL,Triton College Police Department,"Truck, Utility",1,Vehicle
IL,Triton College Police Department,M-14,8,Gun
IL,Triton College Police Department,M-16,6,Gun
IN,Indiana U. at Bloomington Police,M-16,6,Gun
IN,Indiana U.-Purdue U. at Fort Wayne Police Department,.45 Caliber ,12,Gun
IN,Indiana U.-Purdue U. at Fort Wayne Police Department,M-16,9,Gun
IN,Purdue U. at West Lafayette,M-16,25,Gun
IN,Purdue U. Calumet Police,M-14,3,Gun
IN,Valparaiso U. Police Department,M-14,2,Gun
IN,Vincennes U. Police Department,M-16,9,Gun
IN,Vincennes U. Police Department,M-14,2,Gun
KS,Fort Hays State U.,M-14,2,Gun
KS,Fort Hays State U.,M-21,2,Gun
KS,Fort Hays State U.,M-16,9,Gun
KS,Pittsburg State U. Police Department,M-16,2,Gun
KY,Kentucky State U. Police,"Truck, Utility",6,Vehicle
KY,U. of Kentucky Police Department,"Truck, Utility",2,Vehicle
KY,U. of Louisville Police Department,Binocular,2,Other
KY,U. of Louisville Police Department,"Kit, Close Quarters",20,Other
KY,Western Kentucky U. Police,M-16,5,Gun
LA,Northwestern State U.,M-16,12,Gun
LA,Southeastern Louisiana U.,M-14,3,Gun
LA,Southeastern Louisiana U.,.45 Caliber ,6,Gun
LA,U. of Louisiana at Monroe Police Department,M-16,12,Gun
MA,Salem State U. Police,M-14,2,Gun
MA,Salem State U. Police,Crowd Control Baton,6,Other
MA,Salem State U. Police,Crowd Control Helmet,4,Other
MA,Salem State U. Police,Book Cabinet,1,Other
MA,UMass-Dartmouth,Nikon camera,2,Other
MA,UMass-Dartmouth,Nikon camera lens,3,Other
MA,UMass-Dartmouth,Panel Truck,1,Other
MD,Coppin State U. Police Department,"40 Cal, Glock",30,Gun
MD,Coppin State U. Police Department,"Shotgun (12 Gauge, Riot Type)",5,Gun
MD,Morgan State U. Police,M-14,2,Gun
MD,Morgan State U. Police,M-16,5,Gun
MD,Morgan State U. Police,"Shotgun (12 Gauge, Riot Type)",6,Gun
MD,U. of Maryland at College Park Police,"Magazine, Cartridge",300,Other
MD,U. of Maryland at College Park Police,"Truck, Armored",1,Vehicle
MD,U. of Maryland at College Park Police,"Truck, Utility",2,Vehicle
MD,U. of Maryland at College Park Police,M-14,2,Gun  
MD,U. of Maryland at College Park Police,M-16,50,Gun
MD,U. of Maryland at College Park Police,"Shotgun (12 Gauge, Riot Type)",16,Gun  
MD,U. of Maryland at College Park Police,"Sight, Rear",17,Other
MD,U. of Maryland at College Park Police,"Sight, Reflex",80,Other
ME,U. of Maine at Farmington,M-16,7,Gun
ME,U. of Maine Police,M-16,3,Gun
ME,U. of Southern Maine Police Department,M-16,4,Gun
MI,Michigan State U. Police,Catheter and Needle Unit,50,Other
MI,Michigan State U. Police,Field pack Shoulder Straps,36,Other
MI,Michigan State U. Police,Headset,6,Other
MI,Michigan State U. Police,Holographic Sight,30,Other
MI,Michigan State U. Police,Hydration Carrier,25,Other
MI,Michigan State U. Police,Belt,40,Other
MI,Michigan State U. Police,"Cleaning Kit, Gun",100,Other
MI,Michigan State U. Police,Field Pack,40,Other
MI,Michigan State U. Police,Individual Equipment Kit,25,Other
MI,Michigan State U. Police,"Kit Tactical, Tripod",4,Other
MI,Michigan State U. Police,Lid,32,Other
MI,Michigan State U. Police,"Mask, Oronasal",17,Other
MI,Michigan State U. Police,Medical Scope,1,Other
MI,Michigan State U. Police,"Navigation Set, Satellite Signals ",3,Other
MI,Michigan State U. Police,Oxygen Bag,4,Other
MI,Michigan State U. Police,"Razor, Surgical Preparation",2,Other
MI,Michigan State U. Police,"Splint, Leg",10,Other
MI,Michigan State U. Police,"Suction Apparatus, Surgical",1,Other
MI,Michigan State U. Police,Tool Kit,2,Other
MI,Michigan State U. Police,"Light, Desk",3,Other
MI,Michigan State U. Police,Modular Sleep System,24,Other
MI,Michigan State U. Police,Individual First Aid Kit,111,Other
MI,Michigan State U. Police,Drinking System,19,Other
MI,Michigan State U. Police,Carabiner,20,Other
MI,Michigan State U. Police,Bayonet,75,Other
MI,Michigan State U. Police,Ballistic Goggles,8,Other
MI,Michigan State U. Police,Grenadier Vest,10,Other
MI,Michigan State U. Police,"Mask, Face, Night Vision",3,Other
MI,Michigan State U. Police,Tourniquet,75,Other
MI,Michigan State U. Police,Spax,4,Other
MI,Michigan State U. Police,Ballistic Blanket,3,Other
MI,Michigan State U. Police,M-14,7,Gun
MI,Michigan State U. Police,Infrared Transmitter,40,Other
MI,Michigan State U. Police,Individual Equipment,10,Other
MI,Michigan State U. Police,Individual Equipment Belt,40,Other
MI,Michigan State U. Police,"Mount, Sight",5,Other
MI,Michigan State U. Police,Protective Faceshield,50,Other
MI,Michigan State U. Police,Pyrotechnic Pouch,30,Other
MI,Michigan State U. Police,Radio Pouch,30,Other
MI,Michigan State U. Police,Searchlight,1,Other
MI,Michigan State U. Police,Stethoscope,4,Other
MI,Michigan State U. Police,Tactical Leg Shroud,16,Other
MI,Northern Michigan U. Police,M-16,4,Gun
MI,Northern Michigan U. Police,.45 Caliber ,20,Gun
MI,Northern Michigan U. Police,M-14,6,Gun
MI,Saginaw Valley State U.,"Helmet, Ground Troop",2,Other
MI,Saginaw Valley State U.,M-16,2,Gun
MI,U. of Michigan at Ann Arbor Department of Public Safety,Barrier,6,Other
MI,U. of Michigan at Ann Arbor Department of Public Safety,Computer Repair Equipment,2,Other
MI,U. of Michigan at Ann Arbor Department of Public Safety,Weapon Sight,2,Other
MI,Western Michigan U. Police,Face Shield,20,Other
MI,Western Michigan U. Police,Flip Chart Display Easel,1,Other
MI,Western Michigan U. Police,Diesel backup generator,1,Other
MI,Western Michigan U. Police,"Fax, scan, copy center",6,Other
MI,Western Michigan U. Police,"Rod, cleaning, small arms",1,Other
MI,Western Michigan U. Police,Coffee Maker,1,Other
MI,Western Michigan U. Police,"Spectacles, combo pack",40,Other
MI,Western Michigan U. Police,"Case, small arms, ammo",30,Other
MI,Western Michigan U. Police,"Cleaner, tobacco pipe",4,Other
MI,Western Michigan U. Police,"Tool kit, small arms",1,Other
MI,Western Michigan U. Police,"Pliers, slip joint",2,Other
MI,Western Michigan U. Police,"Rod, cleaning, small",3,Other
MI,Western Michigan U. Police,Blade Knife,10,Other
MI,Western Michigan U. Police,M-14,1,Gun
MI,Western Michigan U. Police,"Mount, Sight",1,Other
MI,Western Michigan U. Police,Socket wrench,2,Other
MI,Western Michigan U. Police,"Wrench, Torque",1,Other
MN,U. of Minnesota-Twin Cities Police Department,M-14,2,Gun
MN,U. of Minnesota-Twin Cities Police Department,M-16,6,Gun
MO,Lincoln U. (Mo.) Police,HP 5750 Computer,11,Other
MO,Lincoln U. (Mo.) Police,HP CPU no Hard Drive,1,Other
MO,Lincoln U. (Mo.) Police,HP Dell CPU no HD,2,Other
MO,Lincoln U. (Mo.) Police,"ADP CPU, Digital",3,Other
MO,Lincoln U. (Mo.) Police,Assault Pack,15,Other
MO,Lincoln U. (Mo.) Police,Bayonet-Knife,20,Other
MO,Lincoln U. (Mo.) Police,Dell Laptop,13,Other
MO,Lincoln U. (Mo.) Police,Drinking System,5,Other
MO,Lincoln U. (Mo.) Police,Flat Panel Monitor,1,Other
MO,Lincoln U. (Mo.) Police,"Generator Set, Diesel Engine",1,Other
MO,Lincoln U. (Mo.) Police,Laptop,15,Other
MO,Lincoln U. (Mo.) Police,"Module, Trauma",25,Other
MO,Lincoln U. (Mo.) Police,Monitor,9,Other
MO,Lincoln U. (Mo.) Police,Motorcycles Motor,1,Vehicle
MO,Lincoln U. (Mo.) Police,"Pen, Tablet",1,Other
MO,Lincoln U. (Mo.) Police,"Rack, Storage, Small Arms",1,Other
MO,Lincoln U. (Mo.) Police,M-16,8,Gun
MO,Lincoln U. (Mo.) Police,"Sling, Small Arms",4,Other
MO,Lincoln U. (Mo.) Police,Strap Involuntary,100,Other
MO,Lincoln U. (Mo.) Police,"Swab, Small Arms",1,Other
MO,Lincoln U. (Mo.) Police,Printer,1,Other
MO,Missouri Southern State U. Campus Police,Camelback,6,Other
MO,Missouri Southern State U. Campus Police,Dell Laptop,2,Other
MO,Missouri Southern State U. Campus Police,Inkjet Printer,2,Other
MO,Missouri Southern State U. Campus Police,Laptop,1,Other
MO,Missouri Southern State U. Campus Police,Modular Sleep System,2,Other
MO,Missouri Southern State U. Campus Police,Monitor,2,Other
MO,Missouri Southern State U. Campus Police,Shipping and Storage,3,Other
MO,Missouri U. of Science and Technology,"Belt, Rigger",5,Other
MO,U. of Missouri - Columbia,"Motor Cart, Utility",2,Vehicle
MS,Hinds Community College Police,M-79 Grenade Launcher,1,Other
MS,Hinds Community College Police,M-16,2,Gun
MS,Holmes Community College Police,M-16,4,Gun
MS,Mississippi State U. Police,M-16,5,Gun
MS,U. of Southern Mississippi Police Department,M-16,2,Gun
ND,North Dakota State College of Science Police,M-14,2,Gun
NM,New Mexico State U. at Las Cruces Police Department,Mine Resistant Vehicle,1,Vehicle
NM,New Mexico State U. at Las Cruces Police Department,Truck Tractor,1,Vehicle
NY,SUNY-Morrisville,Humvee,1,Vehicle
NY,SUNY-Morrisville,M-14,3,Gun
NY,SUNY-Old Westbury,Humvee,1,Vehicle
NY,SUNY-Old Westbury,M-16,3,Gun
NY,SUNY-Oneonta,Humvee,1,Vehicle
NY,SUNY-Oneonta,M-14,3,Gun
OH,"Bowling Green State U., Main Campus Police Department",Shotgun Winchester M1912,2,Gun
OH,Central State U. Police,M-14,5,Gun
OH,College of Mount St. Joseph Police,M-16,4,Gun
OH,Hocking College Police Department,"Door, Vehicular",5,Other
OH,Hocking College Police Department,Hardware kit,2,Other
OH,Hocking College Police Department,"Kit, Velocity Drive Shaft",1,Other
OH,Hocking College Police Department,Borescope,1,Other
OH,Hocking College Police Department,Installation Kit,1,Other
OH,Hocking College Police Department,Front Door Kit,1,Other
OH,Hocking College Police Department,M-16,1,Gun
OH,Hocking College Police Department,"Respirator, air filter",1,Other
OH,Hocking College Police Department,"Spectacles, Set Ball",8,Other
OH,Hocking College Police Department,"Truck, Utility",2,Vehicle
OH,Hocking College Police Department,"Sight, reflex",7,Other
OH,Hocking College Police Department,Vehicular Parts Kit,5,Other
OH,Hocking College Police Department,"Window, Vehicular",4,Other
OH,Lakeland Community College Police,M-14,4,Gun
OH,Lakeland Community College Police,M-16,4,Gun
OH,Notre Dame College (Ohio) Police Department,.45 Caliber ,1,Gun
OH,Ohio State U. Police Department,"Light, Chemiluminescent",350,Other
OH,Ohio State U. Police Department,Mine Resistant Vehicle,1,Vehicle
OH,Ohio State U. Police Department,"Kit, Pandemic Preparedness",48,Other
OH,U. of Akron Police Department,Combat Vehicle Crewmen's Coveralls,60,Other
OH,U. of Akron Police Department,"Coveralls, Combat Vehicle Crewmen's",10,Other
OH,U. of Akron Police Department,"Drawers, Extreme Cold Weather",34,Other
OH,U. of Akron Police Department,Flashlight,60,Other
OH,U. of Akron Police Department,Hook Knife,50,Other
OH,U. of Akron Police Department,Individual Holster,1,Other
OH,U. of Akron Police Department,"Light, Chemiluminescent",25,Other
OH,U. of Akron Police Department,Overalls Cold Weather,72,Other
OH,U. of Akron Police Department,"Pouch, Magazine",50,Other
OH,U. of Akron Police Department,Duffel Bag,50,Other
OH,U. of Akron Police Department,Bin,4,Other
OH,U. of Akron Police Department,"Blanket, Bed",40,Other
OH,U. of Akron Police Department,Camera,20,Other
OH,U. of Akron Police Department,"Carrier, Sleep System",20,Other
OH,U. of Akron Police Department,Desk,2,Other
OH,U. of Akron Police Department,Field Pack,15,Other
OH,U. of Akron Police Department,"Generator Set, Diesel Engine",1,Other
OH,U. of Akron Police Department,Glove Inserts,60,Other
OH,U. of Akron Police Department,Grenadier Set,20,Other
OH,U. of Akron Police Department,Shirt,60,Other
OH,U. of Akron Police Department,"Shirt, Cold Weather",82,Other
OH,U. of Akron Police Department,Bag,62,Other
OH,U. of Akron Police Department,"Jersey, Working",50,Other
OH,U. of Akron Police Department,Laptop,3,Other
OH,U. of Akron Police Department,"Lens, Camera",1,Other
OH,U. of Akron Police Department,Lep,100,Other
OH,U. of Akron Police Department,"Mat, Sleeping, Self-Inflating",10,Other
OH,U. of Akron Police Department,"Rack, Storage, Small Arms",2,Other
OH,U. of Akron Police Department,Rifleman set,45,Other
OH,U. of Akron Police Department,Sipping case,2,Other
OH,U. of Akron Police Department,Tool Kit,1,Other
OH,U. of Akron Police Department,"Tool Kit, Small Arms",2,Other
OH,U. of Akron Police Department,Toolbox,2,Other
OH,U. of Akron Police Department,Vest,80,Other
OH,U. of Akron Police Department,Specialized Shipping and Storage Container,3,Other
OH,U. of Akron Police Department,System Hydration,50,Other
OH,U. of Akron Police Department,Washer Pressure ,1,Other
OH,U. of Akron Police Department,Washer Pressure ,1,Other
OH,U. of Akron Police Department,"Wrench Set, Socket",1,Other
OH,U. of Cincinnati Police Department,M-16,11,Gun
OH,Youngstown State U. Police Department,M-16,4,Gun
OK,East Central U. (Oklahoma) Police,"Truck, Utility",1,Vehicle
OK,Eastern Oklahoma State College Police Department,M-14,1,Gun
OK,Eastern Oklahoma State College Police Department,M-16,1,Gun
OK,Mid-America Christian U.,.45 Caliber ,5,Gun
OK,Mid-America Christian U.,M-14,1,Gun
OK,Mid-America Christian U.,M-16,5,Gun
OK,Murray State College Police,.45 Caliber ,5,Gun
OK,Murray State College Police,M-14,2,Gun
OK,Murray State College Police,M-16,1,Gun
OK,Oklahoma City U.,M-14,6,Gun
OK,U. of Oklahoma Health Sciences Center Police Department,"Sight, Reflex",50,Other
SC,South Carolina State U.,M-16,10,Gun
SC,South Carolina State U.,M-14,4,Gun
SC,U. of South Carolina-Upstate,Barrel and Front Sight Assembly,10,Other
SC,U. of South Carolina-Upstate,"Sight, Rear",8,Other
SC,U. of South Carolina-Upstate,"Receiver, Cartridge",11,Other
SC,U. of South Carolina-Upstate,"Lamp, Incandescent",7,Other
SC,U. of South Carolina-Upstate,"Module, Trauma",30,Other
SC,U. of South Carolina-Upstate,"Stock, Gun, Shoulder",8,Other
SC,U. of South Carolina-Upstate Police Department,Barrel and Front Sight Assembly,10,Other
SC,U. of South Carolina-Upstate Police Department,"Sight, Rear",8,Other
SC,U. of South Carolina-Upstate Police Department,"Lamp, Incandescent",7,Other
SC,U. of South Carolina-Upstate Police Department,"Module, Trauma",30,Other
SC,U. of South Carolina-Upstate Police Department,"Receiver, Cartridge",11,Other
SC,U. of South Carolina-Upstate Police Department,"Stock, Gun, Shoulder",8,Other
TN,Roane State Community College Police,"40 Cal, Glock",6,Gun
TX,Angelo State U. Police Department,M-16,2,Gun
TX,Austin Community College Police Department,"Sight, reflex",4,Other
TX,Austin Community College Police Department,Binocular,10,Other
TX,Lone Star College system,Shotgun,8,Gun
TX,Mountain View College Police Department,M-14,2,Gun
TX,Texas A&M U. at Texarkana U. Police,"Truck, Utility",1,Vehicle
TX,Texas Southern U.,Mine Resistant Vehicle,1,Vehicle
TX,Texas State Technical College at Waco Police,M-16,3,Gun
TX,U. of North Texas Health Science Center at Fort Worth,M-16,6,Gun
TX,U. of Texas at Arlington Police,"Pouch, First Aid Kit",70,Other
TX,U. of Texas at Arlington Police,"Sight, reflex",25,Other
TX,U. of Texas at Arlington Police,Goggles,30,Other
TX,U. of Texas at Tyler Police,M-16,10,Gun
TX,U. of Texas system Police,Mine Resistant Vehicle,1,Vehicle
TX,U. of Texas system Police,"Truck, Utility",2,Vehicle
VA,College of William & Mary Police,M-16,4,Gun
VA,James Madison U.,Intrenching Tool,8,Other
VA,James Madison U.,Shotgun,4,Gun
VA,James Madison U.,Copier,1,Other
VA,James Madison U.,Typewriter,1,Other
VA,James Madison U.,"UPS, Best Me2",1,Other
VA,James Madison U.,Power Backup,2,Other
VA,James Madison U.,Printer,2,Other
VA,James Madison U.,Drive Tape,1,Other
VA,James Madison U.,Truck Cargo,1,Vehicle
VA,James Madison U.,Mortuary Wrap,12,Other
VA,Longwood U.,M-16,2,Gun
VA,Old Dominion U. Police Department,"Chest, Ammunition",20,Other
VA,Old Dominion U. Police Department,"Pad, Elbow, Shooter",25,Other
VA,Old Dominion U. Police Department,"Shield, Riot",12,Other
VA,Old Dominion U. Police Department,Printer,2,Other
VA,Old Dominion U. Police Department,"Baton, Tactical Asp",3,Other
VA,Old Dominion U. Police Department,"Binder, Loose-Leaf",150,Other
VA,Old Dominion U. Police Department,Binocular,2,Other
VA,Old Dominion U. Police Department,"Cabinet, Security",2,Other
VA,Old Dominion U. Police Department,"Detector, Metal",6,Other
VA,Old Dominion U. Police Department,"Envelope, Mailing",1000,Other
VA,Old Dominion U. Police Department,First Aid Kit,20,Other
VA,Old Dominion U. Police Department,Gem Car Electric Scooter,3,Vehicle
VA,Old Dominion U. Police Department,Glass Door Board,1,Other
VA,Old Dominion U. Police Department,"Kit Bag, Flyers",50,Other
VA,Old Dominion U. Police Department,Laptop Carrying Case,25,Other
VA,Old Dominion U. Police Department,M-16,4,Gun
VA,Old Dominion U. Police Department,"Pad, Knee, Combat",25,Other
VA,Old Dominion U. Police Department,"Scanner, Xerox",1,Other
VA,Old Dominion U. Police Department,Security Raincoats,44,Other
VA,Old Dominion U. Police Department,Simulator System firing laser,20,Other
VA,Old Dominion U. Police Department,"Strap, Retaining",30,Other
VA,Old Dominion U. Police Department,"Truck, Utility",1,Vehicle
VA,Old Dominion U. Police Department,Voltmeter,1,Other
VA,Southwest Virginia Community College,AMC Hummer,1,Vehicle
VA,U. of Virginia,M-16,12,Gun
VA,Virginia Tech Police Department,Filter Element Set,91,Other
WA,Central Washington U. Police Department,Armored Truck,1,Vehicle
WA,Central Washington U. Police Department,M-14,1,Gun
